workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
913,pilot,,,,,Mary,,"[0, 'Mary']",1,bot_check,,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/wffaces/fFace1.png,Rebecca,,female_white,0.62,,,0,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script1_1.wav,match,stims/face_stims/bffaces/bfFace2.png,Latisha,,female_black,0.27,,,1,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Anne,,female_white,0,,,2,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace10.png,Peter,,male_white,0.79,,,3,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace4.png,Deshawn,,male_black,0,,,4,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace5.png,Ebony,,female_black,0.15,,,5,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace9.png,Dylan,,male_white,0,,,6,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Tamika,,female_black,0,,,7,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace2.png,Deandre,,male_black,0.4,,,8,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Samantha,,female_white,0,,,9,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace8.png,Cody,,male_white,0.84,,,10,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Jasmine,,female_black,0,,,11,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace2.png,Hunter,,male_white,0,,,12,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/bmfaces/bFace9.png,Tyree,,male_black,0.28,,,13,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace3.png,Jill,,female_white,0.74,,,14,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Jamal,,male_black,0,,,15,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
909,pilot,,,,,Barbara,,"[0, 'Barbara']",1,bot_check,,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/bffaces/bfFace5.png,Tiara,,female_black,0.45,,,0,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/bmfaces/bFace2.png,Rasheed,,male_black,0.73,,,1,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Ryan,,male_white,0,,,2,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/wmfaces/wFace6.png,Ethan,,male_white,0.83,,,3,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace9.png,Tremayne,,male_black,0,,,4,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Sarah,,female_white,1,,,5,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F2_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace5.png,Jack,,male_white,0,,,6,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M1_Script1_2.wav,match,stims/face_stims/bmfaces/bFace7.png,Trevon,,male_black,0.65,,,7,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F2_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Deion,,male_black,0,,,8,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace1.png,Carrie,,female_white,0,,,9,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Jada,,female_black,0,,,10,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F1_Script2_2.wav,match,stims/face_stims/wffaces/fFace2.png,Victoria,,female_white,1,,,11,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/bffaces/bfFace1.png,Shaniqua,,female_black,0.66,,,12,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Tanisha,,female_black,0,,,13,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M1_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0,,,14,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
909,pilot,stims/audio_stims/M2_Script2_1.wav,match,stims/face_stims/wmfaces/wFace1.png,Paul,,male_white,1,,,15,2,20,Yes,,1,2,0.75-0.90,Female,English,No.,White,Chrome,Windows,768,1366,3.953766666666666,
912,pilot,,,,,Margaret,,"[0, 'Margaret']",1,bot_check,,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/wmfaces/wFace6.png,Dylan,,male_white,0.89,,,0,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0.91,,,1,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace3.png,Aisha,,female_black,0.09,,,2,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace5.png,Connor,,male_white,0.01,,,3,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace10.png,Jamal,,male_black,0.22,,,4,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Latoya,,female_black,0.01,,,5,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace2.png,Shante,,female_black,0.44,,,6,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace1.png,Laurie,,female_white,0.77,,,7,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace11.png,Cody,,male_white,0.73,,,8,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace2.png,Deandre,,male_black,0.01,,,9,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Carrie,,female_white,0.01,,,10,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/bffaces/bfFace6.png,Shaniqua,,female_black,0.69,,,11,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Deion,,male_black,0,,,12,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Allison,,female_white,0.01,,,13,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/bmfaces/bFace12.png,Jermaine,,male_black,0.52,,,14,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
912,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace4.png,Jack,,male_white,0.01,,,15,1,21,Yes,,2,2,0.68,Female,English,,Asian,Safari,Mac,900,1440,2.86395,
910,pilot,,,,,Mary,,"[0, 'Mary']",1,bot_check,,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F2_Script1_1.wav,mismatch,stims/face_stims/bmfaces/bFace10.png,Trevon,,male_black,0,,,0,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Tamika,,female_black,0,,,1,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace4.png,Tremayne,,male_black,0,,,2,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/wmfaces/wFace10.png,Logan,,male_white,0.73,,,3,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/bffaces/bfFace2.png,Latisha,,female_black,0.47,,,4,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace9.png,Lamont,,male_black,0.7,,,5,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace3.png,Tanisha,,female_black,0.26,,,6,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/wmfaces/wFace7.png,Ethan,,male_white,0.07,,,7,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace12.png,Lamar,,male_black,0.65,,,8,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Emily,,female_white,0,,,9,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace2.png,Carrie,,female_white,0.73,,,10,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace1.png,Anne,,female_white,0.67,,,11,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Ebony,,female_black,0,,,12,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0,,,13,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace5.png,Peter,,male_white,0.81,,,14,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
910,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace12.png,Brad,,male_white,0,,,15,3,29,Yes,,3,2,1,Male,English,,White,Chrome,Mac,1080,1920,2.444916666666667,
914,pilot,,,,,Elizabeth,,"[0, 'elizabeth']",1,bot_check,,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Ryan,,male_white,0.18,,,0,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script2_2.wav,match,stims/face_stims/bffaces/bfFace5.png,Tiara,,female_black,0.78,,,1,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace10.png,Rasheed,,male_black,0.93,,,2,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace4.png,Dustin,,male_white,0.99,,,3,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace1.png,Rebecca,,female_white,0.09,,,4,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace3.png,Jill,,female_white,0.92,,,5,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Ebony,,female_black,0.04,,,6,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Rachel,,female_white,0.02,,,7,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace8.png,Brad,,male_white,0.19,,,8,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace3.png,Latoya,,female_black,0.89,,,9,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Shaniqua,,female_black,0.03,,,10,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Hannah,,female_white,0.9,,,11,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace8.png,Marquis,,male_black,0.03,,,12,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Hakeem,,male_black,0.04,,,13,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/bmfaces/bFace9.png,Jamal,,male_black,0.94,,,14,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
914,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/wmfaces/wFace5.png,Roger,,male_white,0.94,,,15,4,49,Yes,now a days you cant really tell between the men and women,2,2,1.00,Male,english,no,Latino,Chrome,Windows,768,1366,4.506283333333333,
